tweet,hashtags,timestamp,full_url,like_count,retweet_count,language,is_about_learning
"دورة |

نفذ قسم الموهوبين بالشراكة مع نادي المهارات والأعمال بمتوسطة مواهب الخليج دورة ساعة ذكاء اصطناعي قدمها الاستاذ : مبارك المصعبي والاستاذ : شريف محمد 

#مدارس_مواهب_الخليج 
#تعليم_نجران
#وزارة_التعليم
@MOE_NJR","['#مدارس_مواهب_الخليج', '#تعليم_نجران', '#وزارة_', 'التعليم']",19/10/2023,https://x.com/MawahbNajran/status/1715062349567017403,8,6,ar,True
"بالتعاون بين وزارة التعليم وسداياينطلق اليوم تدريب الدفعة الثانية من برنامج مبرمجي ذكاء المستقبل وقد ترشيح معلم مادة التقنية الرقمية في ثانوية ابوبكر الرازي الاستاذ خالد القحطاني للتدريب في هذا البرنامج .
#تعليم_عسير",['#تعليم_عسير'],16/10/2023,https://x.com/MOE_ARP_09_0284/status/1713781030069424303,1,1,ar,True
"وزارة التعليم السعودية تُطلق مبادرة 'ساعة الذكاء الاصطناعي' لتعزيز تعلّم البرمجة والذكاء الاصطناعي في المدارس
 
@moe_gov_sa
 

https://buff.ly/3ZOXjoB 

#ذکاء_اصطناعي #الذكاء_الاصطناعي #تقنية","['#ذکاء_اصطناعي', '#الذكاء_الاصطناعي', '#تقنية']",12/10/2023,https://x.com/thaka_io/status/1712392830398672915,0,0,ar,True
" مرحبًا بكم في #كلاسيرا في 
@Bett_Asia
 2023! 

اكتشفوا أحدث تقنيات التعلم الذكي، وتعرفوا على أحدث أداة ذكاء اصطناعي لدينا ""SERA""!

استكشفوا الحلول الرائدة التي ستحدث ثورة في مجال التعليم.

انضموا إلينا في الجناح D16.

فريقنا بانتظاركم..","['#كلاسيرا', '', '', '', '']",04/10/2023,https://x.com/ClasseraME/status/1709498492597485988,3,2,ar,True
"أنواع الذكاء الاصطناعي
استخدامات الذكاء الاصطناعي في التعليم. 
شرح أمثلة من تطبيقات وأدوات ذكاء اصطناعي تخدم العملية التعليمية.",[],01/10/2023,https://x.com/omama2436/status/1708529358871081351,1,0,ar,True
"انضموا إلينا في #Bett2023 في #بانكوك للفترة من 4 إلى 5 أكتوبر! 
زوروا جناحنا (Stand D16) لاستكشاف بيئة #كلاسيرا، ومنصتنا للتعلم الفائقة، والتعرف على أحدث أداة ذكاء اصطناعي لدينا ""SERA."" 
للتسجيل:
  https://asia.bettshow.com/page/register-to-attend…

 #BettASIA #تكنولوجيا_التعليم","['#Bett2023', '#بانكوك', '#كلاسيرا', '#BettASIA', '#تكنولوجيا_', 'التعليم']",27/09/2023,https://x.com/ClasseraME/status/1706973175764984216,2,0,ar,True
"تستخدم مصر لأول مرة تقنيات الذكاء الاصطناعي في التعليم لشرح المناهج

 https://buff.ly/3rvCwti 

#ذکاء_اصطناعي #الذكاء_الاصطناعي #تقنية","['#ذکاء', '_اصطناعي', '#الذكاء_الاصطناعي', '#تقنية']",25/09/2023,https://x.com/thaka_io/status/1706232402127851712,0,0,ar,True
"سعدت بأنني كنت جزءًا من برنامج 'مبرمجي ذكاء المستقبل' الذي نظمته #وزارة_التعليم و 
@SDAIA_SA
.  كانت تجربة مفعمة بالمعرفة والتعلم في مجال الذكاء الاصطناعي والتكنولوجيا. شكرًا لإتاحة هذه الفرصة القيمة لتطوير مهاراتي ومساهمتي في مستقبل التعليم.  #مبرمجي_ذكاء_المستقبل","['#وزارة_', 'التعليم', '#مبرمجي_', 'ذكاء', '_المستقبل']",22/09/2023,https://x.com/MaghrabiRaniah/status/1705219067731145026,1,0,ar,True
"سعدت بأنني كنت جزءًا من برنامج 'مبرمجي ذكاء المستقبل' الذي نظمته #وزارة_التعليم و 
@SDAIA_SA
. هذه التجربة كانت مفعمة بالمعرفة والتعلم في مجال الذكاء الاصطناعي والتكنولوجيا. شكرًا على هذه الفرصة القيمة لتطوير مهاراتي ومساهمتي في مستقبل التعليم.  #مبرمجي_ذكاء_المستقبل","['#وزارة_', 'التعليم', '#مبرمجي_ذكاء_المستقبل']",19/09/2023,https://x.com/AlRashid_AMM/status/1704171638441295877,1,0,ar,True
"عجيب. وزارة التعليم والهيئة السعودية للبيانات والذكاء الاصطناعي ""سدايا""، برنامج ""مبرمجي ذكاء المستقبل"" في مرحلته الثانية؛ وذلك بتدريب أكثر من 1800 معلم ومعلمة سعوديين بالحاسب في التعليم العام بالرياض، وجدة، والدمام، على تقنيات الذكاء الاصطناعي.
جيل من المعلمين والطلاب بيكونون",[],17/09/2023,https://x.com/azzayezz/status/1703460631498604577,36,11,ar,True
